Time,current_position_1,current_position_2,current_position_3,controller_1,controller_2,controller_3,error_position_1,error_position_2,error_position_3
0,0,0,0,-0,0,0,0,0,0.35
0.04,1.36035319535562e-05,-6.45989888966052e-05,5.67138195037842e-05,0.000107467902433094,0.000510332012283181,-0.205595495104789,-1.36035319535562e-05,6.45989888966052e-05,0.349943286180496
0.08,-5.62700280661085e-06,-4.83179975848216e-05,5.78351318836212e-05,-0.00014645260475999,-0.000102651037826655,-0.20434024411738,5.62700280661085e-06,4.83179975848216e-05,0.349942164868116
0.12,2.09457066855776e-05,-5.09514281295165e-05,6.3680112361908e-05,0.000207689556923939,4.0357134309981e-05,-0.203690518958866,-2.09457066855776e-05,5.09514281295165e-05,0.349936319887638
0.16,2.85442952202718e-05,-5.88920652172841e-05,6.35869801044464e-05,6.84649765699802e-05,8.34393410743928e-05,-0.202931218625605,-2.85442952202718e-05,5.88920652172841e-05,0.349936413019896
0.2,1.48722554663951e-05,-2.39950151025335e-05,5.93550503253937e-05,-9.64764629054118e-05,-0.00025168434885996,-0.20218784185946,-1.48722554663951e-05,2.39950151025335e-05,0.349940644949675
0.24,2.08367553418682e-05,-3.5127920626862e-05,-1.97850167751312e-05,5.32131287758338e-05,9.804147067307e-05,-0.200699309162796,-2.08367553418682e-05,3.5127920626862e-05,0.350019785016775
0.28,-3.01251686908234e-05,-4.20210622520973e-06,-4.4405460357666e-06,-0.000394078146637794,-0.000229698998691193,-0.200951787206531,3.01251686908234e-05,4.20210622520973e-06,0.350004440546036
0.32,-0.000482949007246399,9.00288373114621e-05,-7.69197940826416e-05,-0.00358923229131903,-0.000742171440406058,-0.199337301513553,0.000482949007246399,-9.00288373114621e-05,0.350076919794083
0.36,-0.00136165415632447,0.00028684162355685,-3.66009771823883e-05,-0.0071357900778835,-0.0015904404328942,-0.199785287731886,0.00136165415632447,-0.00028684162355685,0.350036600977182
0.4,-0.00173300095993366,0.000315976371834201,6.82175159454346e-05,-0.00348186451662314,-0.000345082730691988,-0.199782620538771,0.00173300095993366,-0.000315976371834201,0.349931782484055
0.44,-0.00191377402818872,0.000395704814717522,-7.62268900871277e-05,-0.00212833673068914,-0.000757058770133749,-0.196517905779183,0.00191377402818872,-0.000395704814717522,0.350076226890087
0.48,-0.00216052603593904,0.000399554194990062,2.15694308280945e-05,-0.00272570712806008,-0.000190296962291354,-0.198289058755339,0.00216052603593904,-0.000399554194990062,0.349978430569172
0.52,-0.00232881547472154,0.000446899227742471,1.07847154140472e-05,-0.00220887468838623,-0.000536251477381312,-0.1964978991732,0.00232881547472154,-0.000446899227742471,0.349989215284586
0.56,-0.00257496852966758,0.000577670104069428,-7.86706805229187e-05,-0.00289597066254076,-0.00121514745317669,-0.194966486239433,0.00257496852966758,-0.000577670104069428,0.350078670680523
0.6,-0.00267493898325874,0.000577035651564799,-9.80496406555176e-06,-0.00184473927087485,-0.000230509046146075,-0.195883972880244,0.00267493898325874,-0.000577035651564799,0.350009804964066
0.64,-0.00281665996976413,0.000626539406012988,-4.37423586845398e-05,-0.00221990654030036,-0.000627501171374621,-0.194138953462243,0.00281665996976413,-0.000626539406012988,0.350043742358685
0.68,-0.00299849217709539,0.000696789351892601,-0.000127650797367096,-0.00259910689936635,-0.000812450664274171,-0.192897201317549,0.00299849217709539,-0.000696789351892601,0.350127650797367
