Time,current_position_1,current_position_2,current_position_3,controller_1,controller_2,controller_3,error_position_1,error_position_2,error_position_3
0,0,0,0,0,-0,0,0,0,0.8
0.04,-7.46486026756662e-05,2.52368615776877e-05,-7.58077949285507e-05,0.000589723961137763,0.000199371206463733,0,7.46486026756662e-05,-2.52368615776877e-05,0.800075807794929
0.08,-7.08971159458041e-05,-4.31654056263377e-05,1.1201947927475e-05,3.71993109706887e-07,-0.000530232692557571,0,7.08971159458041e-05,4.31654056263377e-05,0.799988798052073
0.12,2.44586999664618e-05,1.09889429696377e-05,1.99489295482635e-06,-0.000724661007891336,0.000410517334569573,0,-2.44586999664618e-05,-1.09889429696377e-05,0.799998005107045
0.16,1.72180380322255e-05,7.81704393596825e-05,-7.74022191762924e-05,4.76599233311921e-05,0.000535115519467051,0,-1.72180380322255e-05,-7.81704393596825e-05,0.800077402219176
0.2,-5.9538534207075e-05,4.30311716301768e-05,-9.66321676969528e-05,0.00059969744343883,-0.00024618957764266,0,5.9538534207075e-05,-4.30311716301768e-05,0.800096632167697
0.24,-6.80679688984163e-05,2.17476731480001e-05,-4.1622668504715e-05,9.15247627740858e-05,-0.000150698645337304,0,6.80679688984163e-05,-2.17476731480001e-05,0.800041622668505
0.28,-1.47414108628698e-06,3.1009192544148e-06,-4.74005937576294e-05,-0.000498401101188999,-0.000138338267134006,0,1.47414108628698e-06,-3.1009192544148e-06,0.800047400593758
0.32,0.00106052379067648,-0.000653632478212586,0.000198813155293465,-0.00838872810524172,-0.00518667525108291,0,-0.00106052379067648,0.000653632478212586,0.799801186844707
0.36,0.00504220050938574,-0.00348078102472798,0.000913346186280251,-0.0318811107424054,-0.0225969555525084,0,-0.00504220050938574,0.00348078102472798,0.79908665381372
0.4,0.00604689112738117,-0.00351173847304722,0.00079483725130558,-0.0099656756352687,-0.00164486685741444,0,-0.00604689112738117,0.00351173847304722,0.799205162748694
0.44,0.00669289738259714,-0.00337349570421467,0.000421606004238129,-0.00754603919876389,-0.00032759159818911,0,-0.00669289738259714,0.00337349570421467,0.799578393995762
0.48,0.00667861959093693,-0.00349100335253807,-0.000323284417390823,-0.00260158352529362,-0.00229946977759654,0,-0.00667861959093693,0.00349100335253807,0.800323284417391
0.52,0.00709787666754812,-0.00364064804909338,-0.000112913548946381,-0.00603415510715551,-0.00260733752466301,0,-0.00709787666754812,0.00364064804909338,0.800112913548946
0.56,0.00725716401159177,-0.00374603102032338,-3.0195340514183e-05,-0.00416229280385149,-0.00232480906931337,0,-0.00725716401159177,0.00374603102032338,0.800030195340514
0.6,0.00736812205841383,-0.00407450663064896,0.000473294407129288,-0.00385872062144162,-0.0041368861687011,0,-0.00736812205841383,0.00407450663064896,0.799526705592871
0.64,0.00849700673590167,-0.00423527862586403,0.000542208552360535,-0.0119594604665469,-0.00295156686671966,0,-0.00849700673590167,0.00423527862586403,0.79945779144764
0.68,0.0111813656380382,-0.00409974890579544,0.00270829349756241,-0.0247162547257389,-0.000683562671316459,-0.00301499620080081,-0.0111813656380382,0.00409974890579544,0.797291706502438
0.72,0.0123716763663889,-0.00332717345670584,0.00349854864180088,-0.014009380444961,0.00439511097816539,0,-0.0123716763663889,0.00332717345670584,0.796501451358199
0.76,0.0148150362304562,-0.0030220661586822,0.00518427230417728,-0.0244093362611953,0.0010044884174667,0,-0.0148150362304562,0.0030220661586822,0.794815727695823
0.8,0.0177977885265752,-0.00279067309688289,0.00657121650874615,-0.0296775104924914,0.000538144738186583,0,-0.0177977885265752,0.00279067309688289,0.793428783491254
