Time,current_position_1,current_position_2,current_position_3,controller_1,controller_2,controller_3,error_position_1,error_position_2,error_position_3
0,0,0,0,-0,0,0,0,0,0.35
0.04,8.94047125392043e-05,0.00021747252280583,-0.000292908400297165,0.000706297229059714,-0.00171803293016606,-0.201924461796879,-8.94047125392043e-05,-0.00021747252280583,0.350292908400297
0.08,2.37695595829552e-05,9.55332287226773e-05,-0.000246837735176086,-0.000482577013913608,0.000875896469088962,-0.204636701966823,-2.37695595829552e-05,-9.55332287226773e-05,0.350246837735176
0.12,0.000118373553801258,0.000189500224007737,-0.000335067510604858,0.000757105726702015,-0.000781178565744097,-0.202549088998138,-0.000118373553801258,-0.000189500224007737,0.350335067510605
0.16,7.41483584751166e-05,0.00030358002820956,-0.0003705695271492,-0.000301566525904163,-0.000978035554748572,-0.20235794544369,-7.41483584751166e-05,-0.00030358002820956,0.350370569527149
0.2,6.98613372463794e-05,0.000314497103029653,-0.000414613634347916,-3.59673194818037e-06,-0.000209289074370051,-0.201549761344492,-6.98613372463794e-05,-0.000314497103029653,0.350414613634348
0.24,0.000116677177798728,0.000271997660450366,-0.00045616552233696,0.000398540790305394,0.000207705588950958,-0.200853078365326,-0.000116677177798728,-0.000271997660450366,0.350456165522337
0.28,0.000111751147743822,0.000275790779578934,-0.000411573797464371,8.73970308462153e-06,-0.00014154986683029,-0.201035898025334,-0.000111751147743822,-0.000275790779578934,0.350411573797464
0.32,-0.00016371205097191,0.000312468231667258,-0.000396665185689926,-0.00213025083906238,-0.000403404926422943,-0.200045698052645,0.00016371205097191,-0.000312468231667258,0.35039666518569
0.36,-0.000902084615656722,0.000627171290787522,-0.000641457736492157,-0.00589774753380635,-0.00261510313927393,-0.196625496821106,0.000902084615656722,-0.000627171290787522,0.350641457736492
0.4,-0.00185611434942646,0.00101148741247707,-0.000572975724935532,-0.00789859236468253,-0.00329218189980097,-0.199091200534999,0.00185611434942646,-0.00101148741247707,0.350572975724936
0.44,-0.00236835098077123,0.0011225445358898,-0.000335656106472015,-0.00479375097773198,-0.00128918523691484,-0.20019709046185,0.00236835098077123,-0.0011225445358898,0.350335656106472
0.48,-0.00260632198503217,0.00135837091435425,-0.00057346373796463,-0.0028366838782692,-0.00232153029026038,-0.19462624283433,0.00260632198503217,-0.00135837091435425,0.350573463737965
0.52,-0.00292701573335866,0.00145655567434637,-0.000657912343740463,-0.00359059460206147,-0.00133120879754336,-0.195416461861134,0.00292701573335866,-0.00145655567434637,0.35065791234374
0.56,-0.0031389396888642,0.0015090775671629,-0.000698700547218323,-0.00286544476957327,-0.00101265916220185,-0.195131355957687,0.0031389396888642,-0.0015090775671629,0.350698700547218
0.6,-0.00331517489119256,0.00158185705694166,-0.000628259032964706,-0.00267455108105352,-0.00119672109046431,-0.195577476491034,0.00331517489119256,-0.00158185705694166,0.350628259032965
0.64,-0.00378279292135568,0.00135905210727864,-0.000138461589813232,-0.00505359985166185,0.00110612047110035,-0.199314677983522,0.00378279292135568,-0.00135905210727864,0.350138461589813
0.68,-0.00391778031239974,0.00131658260524773,0.000130832195281982,-0.00262043060052927,-0.000232125689542729,-0.196544011372328,0.00391778031239974,-0.00131658260524773,0.349869167804718
0.72,-0.00397332603806591,0.00139385646933008,-2.74963676929474e-05,-0.00205467196108629,-0.00116374364623557,-0.191488885274529,0.00397332603806591,-0.00139385646933008,0.350027496367693
0.76,-0.00416253353625549,0.00133135535199959,0.000137262046337128,-0.00314076490636386,-9.32185516457236e-05,-0.194102079258859,0.00416253353625549,-0.00133135535199959,0.349862737953663
0.8,-0.00419253469418977,0.00136516526726324,0.000205732882022858,-0.00196704288469534,-0.000831737972911243,-0.192473713417351,0.00419253469418977,-0.00136516526726324,0.349794267117977
0.84,-0.00423085404592755,0.0014863753510635,6.04614615440369e-05,-0.00205314214830505,-0.00153845360099045,-0.189564066611231,0.00423085404592755,-0.0014863753510635,0.349939538538456
0.88,-0.0044871584511591,0.00158452949646752,2.75671482086182e-05,-0.00379901351969282,-0.00140776847188239,-0.18997151144892,0.0044871584511591,-0.00158452949646752,0.349972432851791
0.92,-0.00465419158325767,0.0016157896881072,0.000141222029924393,-0.00320526654093725,-0.000921736954298639,-0.190793885974586,0.00465419158325767,-0.0016157896881072,0.349858777970076
0.96,-0.00499826996622552,0.00131583568574008,0.00043942779302597,-0.00468004565881043,0.00167911952232294,-0.192088780114055,0.00499826996622552,-0.00131583568574008,0.349560572206974
1,-0.00563412232786718,0.000821348915613094,0.00147122144699097,-0.00713268798345323,0.00333327831720133,-0.199241434705257,0.00563412232786718,-0.000821348915613094,0.348528778553009
1.04,-0.00676884576625096,8.38804737974937e-05,0.00258013606071472,-0.0113393786790283,0.00544898553376092,-0.199870044052601,0.00676884576625096,-8.38804737974937e-05,0.347419863939285
1.08,-0.00857603042345676,-0.000743597140592977,0.00495753437280655,-0.0171192493746083,0.00645487761288104,-0.213048740464448,0.00857603042345676,0.000743597140592977,0.345042465627193
1.12,-0.0106061532246083,-0.00132510676477068,0.00681411847472191,-0.0196204866355088,0.00484420873023759,-0.208078805482388,0.0106061532246083,0.00132510676477068,0.343185881525278
1.16,-0.0135312629618467,-0.00150988251441751,0.00836243107914925,-0.0275241448575051,0.00194526518464424,-0.20508387504667,0.0135312629618467,0.00150988251441751,0.341637568920851
1.2,-0.0163759743587944,-0.00145483406065047,0.00943626835942268,-0.0280861043900275,0.000127584042562292,-0.200192765307426,0.0163759743587944,0.00145483406065047,0.340563731640577
1.24,-0.0203463262974336,-0.000668301383053286,0.0128180459141731,-0.0381493011768868,-0.0056702510390814,-0.224281929366291,0.0203463262974336,0.000668301383053286,0.337181954085827
1.28,-0.0249812072154318,0.000675740267360062,0.0180252343416214,-0.0450279135418733,-0.0103878483926018,-0.244465268398821,0.0249812072154318,-0.000675740267360062,0.331974765658379
1.32,-0.0305622661717666,0.00308274226304773,0.0250606387853622,-0.0544066348263627,-0.019324203260969,-0.265601181252301,0.0305622661717666,-0.00308274226304773,0.324939361214638
1.36,-0.0359232705878975,0.0062790958665433,0.0339778102934361,-0.0549617520736297,-0.0265290472454526,-0.288227558927238,0.0359232705878975,-0.0062790958665433,0.316022189706564
1.4,-0.0404244342396467,0.00897510655266819,0.0433608926832676,-0.0503852583426423,-0.0238674378313556,-0.296946164560318,0.0404244342396467,-0.00897510655266819,0.306639107316732
