Time,current_position_1,current_position_2,current_position_3,controller_1,controller_2,controller_3,error_position_1,error_position_2,error_position_3
0,0,0,0,0,-0,0,0,0,0.8
0.04,-7.46961067375003e-05,-4.63346383168891e-05,9.84836369752884e-05,0.000590099243226252,-0.000366043642703424,0,7.46961067375003e-05,4.63346383168891e-05,0.799901516363025
0.08,0.000223543258642414,-4.37844415751789e-05,-0.000359391793608665,-0.00232606315159285,1.52002965612098e-06,0,-0.000223543258642414,4.37844415751789e-05,0.800359391793609
0.12,0.000223058430839522,1.53693198226932e-05,-0.000311002135276794,-8.58848581179261e-05,0.000449620700253334,0,-0.000223058430839522,-1.53693198226932e-05,0.800311002135277
0.16,9.67459371629814e-05,-7.2583369082814e-05,-0.00022510439157486,0.000907901516543369,-0.000688828013944568,0,-9.67459371629814e-05,7.2583369082814e-05,0.800225104391575
0.2,0.000215429839990033,0.000104785539166634,-0.000363247469067574,-0.000977238510238717,0.00137188636127921,0,-0.000215429839990033,-0.000104785539166634,0.800363247469068
0.24,0.000330695400632514,2.38282287722302e-06,-0.000303713604807854,-0.000998138027791402,-0.000767152338199664,0,-0.000330695400632514,-2.38282287722302e-06,0.800303713604808
0.28,0.000505145620429679,-0.000188382306354471,9.01538878679276e-05,-0.00151246445017167,-0.00150617172131371,0,-0.000505145620429679,0.000188382306354471,0.799909846112132
0.32,0.00206881570600963,-0.0012460283685476,0.000514326617121696,-0.0125580917690154,-0.00843121390801447,0,-0.00206881570600963,0.0012460283685476,0.799485673382878
0.36,0.00501185860197432,-0.00287793888555744,0.00105804391205311,-0.0240847426366988,-0.0133934535826807,0,-0.00501185860197432,0.00287793888555744,0.798941956087947
0.4,0.00581879885022737,-0.00316193545586,0.000943968072533607,-0.00839677259536675,-0.00340345348826833,0,-0.00581879885022737,0.00316193545586,0.799056031927466
0.44,0.0062774914516643,-0.00332158647226867,0.000933302566409111,-0.005980029882521,-0.00254104611153936,0,-0.0062774914516643,0.00332158647226867,0.799066697433591
0.48,0.00687130080463205,-0.00348838160984733,0.000777646899223328,-0.00724348424309261,-0.00266798824829028,0,-0.00687130080463205,0.00348838160984733,0.799222353100777
0.52,0.00729092626825773,-0.00347967160447644,0.000186311081051826,-0.00611869786008664,-0.00135519243724002,0,-0.00729092626825773,0.00347967160447644,0.799813688918948
0.56,0.0077563199008932,-0.00336419511716395,0.000822907313704491,-0.00666269843325075,-0.000515212570961919,0,-0.0077563199008932,0.00336419511716395,0.799177092686296
0.6,0.00841272381836031,-0.00307903084839928,0.00189972296357155,-0.00837334977627673,0.000864783107200941,0,-0.00841272381836031,0.00307903084839928,0.798100277036428
0.64,0.0105297785647685,-0.00287822236978299,0.003798583522439,-0.0201918783395351,0.000306280010837802,-0.000887897349894917,-0.0105297785647685,0.00287822236978299,0.796201416477561
0.68,0.0144129564384514,-0.00255517387765195,0.00651518441736698,-0.0350121325006975,0.00134654306431131,-0.00883119832500723,-0.0144129564384514,0.00255517387765195,0.793484815582633
0.72,0.0167050291593923,-0.00229171587120778,0.00832283310592175,-0.0240244988563861,0.000999887276482141,0,-0.0167050291593923,0.00229171587120778,0.791677166894078
0.76,0.0200942213905514,-0.00157751809644128,0.00955708883702755,-0.0336419821338047,0.00466153121706377,0,-0.0200942213905514,0.00157751809644128,0.790442911162972
0.8,0.0219857545922157,-0.00121322534518936,0.00964711420238018,-0.0232063411360413,0.00217980560501228,0,-0.0219857545922157,0.00121322534518936,0.79035288579762
0.84,0.023704677339282,-0.00129038416047146,0.00966188497841358,-0.0226433033345669,-0.00116437112079599,0,-0.023704677339282,0.00129038416047146,0.790338115021586
0.88,0.0250072611928012,-0.00154791651703496,0.00956886820495129,-0.0200892045290496,-0.00262276639135292,0,-0.0250072611928012,0.00154791651703496,0.790431131795049
0.92,0.0265853274607707,-0.00195219391665398,0.00951684452593327,-0.0228365636670003,-0.00388816100715093,0,-0.0265853274607707,0.00195219391665398,0.790483155474067
0.96,0.0281776270094406,-0.00213306508246853,0.00980822555720806,-0.0236334037466432,-0.0022888671077766,0,-0.0281776270094406,0.00213306508246853,0.790191774442792
1,0.0300658929631717,-0.00290463264716667,0.0105336513370275,-0.0266648134201127,-0.0070319832554477,0,-0.0300658929631717,0.00290463264716667,0.789466348662972
1.04,0.0312550868738057,-0.00319903126681385,0.010890057310462,-0.0219575824470651,-0.00357678488071869,0,-0.0312550868738057,0.00319903126681385,0.789109942689538
1.08,0.0326864314866249,-0.00331125171871983,0.0113952774554491,-0.0244087607323294,-0.00226173486595571,0,-0.0326864314866249,0.00331125171871983,0.788604722544551
1.12,0.034559751637243,-0.00347783622259764,0.0123887080699205,-0.0285382781890418,-0.00274272156073297,0,-0.034559751637243,0.00347783622259764,0.78761129193008
1.16,0.0374745959843941,-0.00353513481703501,0.0124996658414602,-0.0375847669051733,-0.00195295235014987,0,-0.0374745959843941,0.00353513481703501,0.78750033415854
1.2,0.0398535192515486,-0.00456722884847469,0.0143982339650393,-0.0345918773040304,-0.00968382600987712,-0.00300542575418949,-0.0398535192515486,0.00456722884847469,0.785601766034961
1.24,0.0428319980115224,-0.0057444202505163,0.0182302352041006,-0.0403596420426669,-0.0112520673079052,-0.0226845539964735,-0.0428319980115224,0.0057444202505163,0.781769764795899
1.28,0.0458825887901285,-0.00698274739040936,0.0226939860731363,-0.042206382489875,-0.0122174050382494,-0.0296703862011433,-0.0458825887901285,0.00698274739040936,0.777306013926864
1.32,0.0501573091661167,-0.00975769231108527,0.032467832788825,-0.0531890077982164,-0.0248659818571719,-0.0861036559976628,-0.0501573091661167,0.00975769231108527,0.767532167211175
1.36,0.054093977364475,-0.0124112349368687,0.0429903585463762,-0.0523285983636678,-0.0250363970804139,-0.0973166449606427,-0.054093977364475,0.0124112349368687,0.757009641453624
1.4,0.058103163784778,-0.0154923861264025,0.0560023877769709,-0.0545843475511034,-0.0295007442542286,-0.127203675023466,-0.058103163784778,0.0154923861264025,0.743997612223029
1.44,0.0615806937002087,-0.018886769157455,0.071051063016057,-0.0521041420583023,-0.0332387210502933,-0.153606477503479,-0.0615806937002087,0.018886769157455,0.728948936983943
1.48,0.065658303842151,-0.0235729377418809,0.093017840757966,-0.058358949201317,-0.0448393536726785,-0.232312993528693,-0.065658303842151,0.0235729377418809,0.706982159242034
1.52,0.0689187593684198,-0.0275030808512927,0.113655628636479,-0.0536657884019574,-0.0407883657293213,-0.22792802451551,-0.0689187593684198,0.0275030808512927,0.686344371363521
1.56,0.071832883276919,-0.0322278885871781,0.13789259083569,-0.0523717883508221,-0.0486932796839301,-0.274665560079366,-0.071832883276919,0.0322278885871781,0.66210740916431
1.6,0.074840037490514,-0.0378395255087301,0.173703314736485,-0.0544160430910324,-0.0576536091222247,-0.406984324227273,-0.074840037490514,0.0378395255087301,0.626296685263515
1.64,0.0775286116798181,-0.043363359969888,0.207343058660626,-0.0532518026595535,-0.0592803035047495,-0.400841803052276,-0.0775286116798181,0.043363359969888,0.592656941339374
1.68,0.0795272555312959,-0.0484831580088761,0.243212210014462,-0.0490318398898067,-0.0583846762740118,-0.439885139143467,-0.0795272555312959,0.0484831580088761,0.556787789985538
1.72,0.0822439542851429,-0.0560153809479648,0.290163354948163,-0.0556629856701773,-0.0795877185164189,-0.573067071828991,-0.0822439542851429,0.0560153809479648,0.509836645051837
1.76,0.0836377646294954,-0.0616263931528389,0.326535718515515,-0.04646333464528,-0.0675350736536548,-0.484445766659082,-0.0836377646294954,0.0616263931528389,0.473464281484485
1.8,0.0851582897897723,-0.0673489060796135,0.361574130132794,-0.0481891813580825,-0.0707835870249239,-0.487678524404018,-0.0851582897897723,0.0673489060796135,0.438425869867206
1.84,0.0867449196469501,-0.0741368149331454,0.40066354162991,-0.04948993510729,-0.0816239178291766,-0.546856377211214,-0.0867449196469501,0.0741368149331454,0.39933645837009
1.88,0.0881171920691542,-0.0798135651112642,0.428435491397977,-0.048604653153163,-0.0757092014646914,-0.446769061888009,-0.0881171920691542,0.0798135651112642,0.371564508602023
1.92,0.0887906205625595,-0.0849363084583765,0.452713029459119,-0.0438089294686716,-0.0737628747012102,-0.423220584832132,-0.0887906205625595,0.0849363084583765,0.347286970540881
1.96,0.0896455542932347,-0.0915212768262178,0.478475080803037,-0.0456897734815917,-0.0875334223207312,-0.450252169390767,-0.0896455542932347,0.0915212768262178,0.321524919196963
2,0.0904428946793337,-0.0966873906514694,0.497027264907956,-0.0457560506602963,-0.0791415013350612,-0.38678653921485,-0.0904428946793337,0.0966873906514694,0.302972735092044
2.04,0.090752977619026,-0.101345656620814,0.513218151405454,-0.0424065387774815,-0.0773893235848028,-0.370663060919195,-0.090752977619026,0.101345656620814,0.286781848594546
2.08,0.0912574974570636,-0.107096769256775,0.532922254875302,-0.0442481294055243,-0.0880888099520424,-0.415073718680441,-0.0912574974570636,0.107096769256775,0.267077745124698
2.12,0.0914016608488952,-0.111507628357716,0.54819362051785,-0.0417856364106262,-0.0800154456182943,-0.377847867738456,-0.0914016608488952,0.111507628357716,0.25180637948215
2.16,0.0913392110584065,-0.115568159153744,0.564161347225308,-0.0403938609487257,-0.0792352109065614,-0.392291728982329,-0.0913392110584065,0.115568159153744,0.235838652774692
2.2,0.0910881752040115,-0.119116366274216,0.580342279747128,-0.0390617295497878,-0.0770432025063967,-0.402042576081306,-0.0910881752040115,0.119116366274216,0.219657720252872
2.24,0.0906069488837907,-0.12335211637558,0.600004302337766,-0.0373249868784145,-0.0841323076361799,-0.44624517262429,-0.0906069488837907,0.12335211637558,0.199995697662234
2.28,0.0901600516824033,-0.126402599169012,0.617053853347898,-0.0375849102868771,-0.0767097001768075,-0.428245240928978,-0.0901600516824033,0.126402599169012,0.182946146652103
2.32,0.0895527329664973,-0.129879742784463,0.637217031791806,-0.0363191415449897,-0.0815533189864772,-0.469097212195396,-0.0895527329664973,0.129879742784463,0.162782968208194
2.36,0.0887107554693742,-0.132170166697648,0.653238521888852,-0.0344015151529451,-0.0738288502703237,-0.435365507838875,-0.0887107554693742,0.132170166697648,0.146761478111148
