Time,current_position_1,current_position_2,current_position_3,error_position_1,error_position_2,error_position_3,controller_1,controller_2,controller_3
0,0,0,0,0,0,0.8,0,-0,0
0.04,-8.7821571471285e-05,-2.76750531691749e-05,4.97493892908096e-05,8.7821571471285e-05,2.76750531691749e-05,0.799950250610709,0.000693790414623151,-0.000218632920036482,0
0.08,-7.58709761026796e-05,-2.01213162194802e-05,5.00120222568512e-05,7.58709761026796e-05,2.01213162194802e-05,0.799949987977743,-5.91054316805262e-05,4.85491505285797e-05,0
0.12,-3.8561510814554e-05,0.000158714550297389,7.20098614692688e-06,3.8561510814554e-05,-0.000158714550297389,0.799992799013853,-0.000264069000239972,0.0014046592262567,0
0.16,-7.38156386546282e-05,-2.45300190984968e-05,4.3179839849472e-05,7.38156386546282e-05,2.45300190984968e-05,0.799956820160151,0.000294336722379185,-0.00138392444174673,0
0.2,-6.92069585583754e-05,0.000130444687815179,2.69804149866104e-05,6.92069585583754e-05,-0.000130444687815179,0.799973019585013,-6.33017790445948e-06,0.00121466095330226,0
0.24,-7.50894151542324e-05,1.8691334853612e-05,-6.25289976596832e-06,7.50894151542324e-05,-1.8691334853612e-05,0.800006252899766,7.48447438418229e-05,-0.000830239947571059,0
0.28,-0.000117566299854202,0.000152865490681964,5.04069030284882e-05,0.000117566299854202,-0.000152865490681964,0.799949593096972,0.000366443887332965,0.00106792341335439,0
0.32,0.000102386957414932,-9.26769380563001e-05,9.62242484092712e-05,-0.000102386957414932,9.26769380563001e-05,0.799903775751591,-0.00168952834774326,-0.00187786221140918,0
0.36,0.00144193077579128,9.75636016543201e-05,0.000282729044556618,-0.00144193077579128,-9.75636016543201e-05,0.799717270955443,-0.0106224798573128,0.00146642091396559,0
0.4,0.00288220483143119,0.000178602259813808,0.000240132212638855,-0.00288220483143119,-0.000178602259813808,0.799759867787361,-0.011956950120597,0.000680017392799201,0
0.44,0.0040711586439309,0.000100120406513004,0.000314705073833466,-0.0040711586439309,-0.000100120406513004,0.799685294926167,-0.0105533942317082,-0.000547421979953681,0
0.48,0.00457591983399743,0.000107293602631512,0.000376487150788307,-0.00457591983399743,-0.000107293602631512,0.799623512849212,-0.00563199635677385,9.80604099515849e-05,0
0.52,0.00488688164316423,5.11841086742819e-05,0.00041656568646431,-0.00488688164316423,-5.11841086742819e-05,0.799583434313536,-0.00431203756336064,-0.000398788975994078,0
0.56,0.00517935993151711,3.256459711805e-05,0.000437488779425621,-0.00517935993151711,-3.256459711805e-05,0.799562511220574,-0.0043001762358837,-0.000124959544391736,0
0.6,0.00569500642180265,4.73364147210911e-05,0.000524770468473434,-0.00569500642180265,-4.73364147210911e-05,0.799475229531527,-0.00619055506635587,0.000131449280538264,0
0.64,0.0059483832490437,0.000167017585987072,0.000574350357055664,-0.0059483832490437,-0.000167017585987072,0.799425649642944,-0.00433627333726222,0.000966236574346144,0
0.68,0.00620996806728478,0.0001927606889365,0.000695396214723587,-0.00620996806728478,-0.0001927606889365,0.799304603785276,-0.00451436396355699,0.000272332338323749,0
0.72,0.00642355947835768,0.000373720510340395,0.000792823731899261,-0.00642355947835768,-0.000373720510340395,0.799207176268101,-0.00425226991035935,0.00150922717667168,0
0.76,0.00715839040420541,0.00115558200246536,0.00113280303776264,-0.00715839040420541,-0.00115558200246536,0.798867196962237,-0.00846834576046643,0.00632948174495037,0
